[0.014s][info][gc,heap] Heap region size: 1M
[0.023s][info][gc     ] Using G1
[0.023s][info][gc,heap,coops] Heap address: 0x00000007e0000000, size: 512 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.186s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.187s][info][gc,task      ] GC(0) Using 8 workers of 8 for evacuation
[0.189s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.189s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 1.4ms
[0.189s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.2ms
[0.189s][info][gc,phases    ] GC(0)   Other: 0.6ms
[0.189s][info][gc,heap      ] GC(0) Eden regions: 25->0(306)
[0.189s][info][gc,heap      ] GC(0) Survivor regions: 0->1(4)
[0.189s][info][gc,heap      ] GC(0) Old regions: 0->0
[0.189s][info][gc,heap      ] GC(0) Humongous regions: 0->0
[0.189s][info][gc,metaspace ] GC(0) Metaspace: 6465K->6465K(1056768K)
[0.189s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 25M->0M(512M) 2.359ms
[0.189s][info][gc,cpu       ] GC(0) User=0.00s Sys=0.00s Real=0.00s
[0.426s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.426s][info][gc,task      ] GC(1) Using 8 workers of 8 for evacuation
[0.428s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.428s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 1.6ms
[0.428s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.3ms
[0.428s][info][gc,phases    ] GC(1)   Other: 0.3ms
[0.429s][info][gc,heap      ] GC(1) Eden regions: 306->0(306)
[0.429s][info][gc,heap      ] GC(1) Survivor regions: 1->1(39)
[0.429s][info][gc,heap      ] GC(1) Old regions: 0->0
[0.429s][info][gc,heap      ] GC(1) Humongous regions: 0->0
[0.429s][info][gc,metaspace ] GC(1) Metaspace: 6493K->6493K(1056768K)
[0.429s][info][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 306M->1M(512M) 2.312ms
[0.429s][info][gc,cpu       ] GC(1) User=0.01s Sys=0.00s Real=0.00s
[0.499s][info][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.499s][info][gc,task      ] GC(2) Using 8 workers of 8 for evacuation
[0.501s][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
[0.501s][info][gc,phases    ] GC(2)   Evacuate Collection Set: 1.1ms
[0.501s][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.3ms
[0.501s][info][gc,phases    ] GC(2)   Other: 0.2ms
[0.501s][info][gc,heap      ] GC(2) Eden regions: 306->0(305)
[0.501s][info][gc,heap      ] GC(2) Survivor regions: 1->2(39)
[0.501s][info][gc,heap      ] GC(2) Old regions: 0->0
[0.501s][info][gc,heap      ] GC(2) Humongous regions: 0->0
[0.501s][info][gc,metaspace ] GC(2) Metaspace: 6493K->6493K(1056768K)
[0.501s][info][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 307M->1M(512M) 1.633ms
[0.501s][info][gc,cpu       ] GC(2) User=0.00s Sys=0.00s Real=0.01s
[0.565s][info][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.565s][info][gc,task      ] GC(3) Using 8 workers of 8 for evacuation
[0.566s][info][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 0.0ms
[0.566s][info][gc,phases    ] GC(3)   Evacuate Collection Set: 1.0ms
[0.566s][info][gc,phases    ] GC(3)   Post Evacuate Collection Set: 0.2ms
[0.566s][info][gc,phases    ] GC(3)   Other: 0.1ms
[0.566s][info][gc,heap      ] GC(3) Eden regions: 305->0(305)
[0.566s][info][gc,heap      ] GC(3) Survivor regions: 2->2(39)
[0.566s][info][gc,heap      ] GC(3) Old regions: 0->0
[0.566s][info][gc,heap      ] GC(3) Humongous regions: 0->0
[0.566s][info][gc,metaspace ] GC(3) Metaspace: 6493K->6493K(1056768K)
[0.566s][info][gc           ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 306M->1M(512M) 1.509ms
[0.566s][info][gc,cpu       ] GC(3) User=0.00s Sys=0.00s Real=0.00s
[0.630s][info][gc,start     ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[0.630s][info][gc,task      ] GC(4) Using 8 workers of 8 for evacuation
[0.631s][info][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 0.0ms
[0.632s][info][gc,phases    ] GC(4)   Evacuate Collection Set: 1.1ms
[0.632s][info][gc,phases    ] GC(4)   Post Evacuate Collection Set: 0.3ms
[0.632s][info][gc,phases    ] GC(4)   Other: 0.1ms
[0.632s][info][gc,heap      ] GC(4) Eden regions: 305->0(305)
[0.632s][info][gc,heap      ] GC(4) Survivor regions: 2->2(39)
[0.632s][info][gc,heap      ] GC(4) Old regions: 0->0
[0.632s][info][gc,heap      ] GC(4) Humongous regions: 0->0
